fecha_operacion,fecha_valor,hoja,moneda,pais,bs_por_moneda_compra,bs_por_moneda_venta,publicado_en,archivo_fuente,url_fuente
2023-12-22,2023-12-26,22122023,EUR,Zona Euro,39.3780608,39.47675268,2023-12-22 15:13:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-22,2023-12-26,22122023,USD,E.U.A.,35.7238665,35.8134,2023-12-22 15:13:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-26,2023-12-27,26122023,EUR,Zona Euro,39.37500129,39.4736855,2023-12-26 15:37:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-26,2023-12-27,26122023,USD,E.U.A.,35.69324325,35.7827,2023-12-26 15:37:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-27,2023-12-28,27122023,EUR,Zona Euro,39.69613139,39.79562044,2023-12-27 15:21:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-27,2023-12-28,27122023,USD,E.U.A.,35.745213,35.8348,2023-12-27 15:21:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-28,2023-12-29,28122023,EUR,Zona Euro,39.80465226,39.9044133,2023-12-28 15:45:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-28,2023-12-29,28122023,USD,E.U.A.,35.84067375,35.9305,2023-12-28 15:45:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-29,2024-01-02,29122023,EUR,Zona Euro,39.71711247,39.81665411,2023-12-29 15:17:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-12-29,2024-01-02,29122023,USD,E.U.A.,35.86940175,35.9593,2023-12-29 15:17:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2024-01-02,2024-01-03,02012024,EUR,Zona Euro,39.21159864,39.30987333,2024-01-02 15:31:00,2_1_2a24_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2a24_smc.xls
2024-01-02,2024-01-03,02012024,USD,E.U.A.,35.7773325,35.867,2024-01-02 15:31:00,2_1_2a24_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2a24_smc.xls
